,host,class
1853472,boqaypuwee.yi.org,dga
721406,fotoev.com,legit
482493,quickfever.com,legit
438815,weareplaystation.fr,legit
1099770,bxorruxhlkcb.pw,dga
815730,prestostore.com,legit
1601152,yuxforcajanunal.com,dga
1847579,yaacjpapczexaoi.info,dga
1398851,mwruvinskycattederifg.com,dga
1858060,opatsnqzk.dyndns.org,dga
1043614,jke56f5y04s01c8zw7m1525dxv.com,dga
1773422,dihwlgdy.org,dga
1456139,qelxardenslavetusul.com,dga
2019132,udc7tssmjx.xyz,legit
1134432,ortdpoovqpbi.com,dga
1951841,uni-wz.com,legit
630427,globaldatinginsights.com,legit
1191145,aohziologistbikerepil.com,dga
1995225,hsquizbowl.org,legit
471696,meetmax.com,legit
1242331,dponllaabettingk.com,dga
471261,caswim.com,legit
619086,lochstein.de,legit
1882861,jora.com,legit
307137,fvision.cf,legit
1920083,hocalarageldik.com,legit
1602298,ywyyellefrictionlessv.com,dga
1779872,hcixaoeodl.ki,dga
726829,georgiadb.com,legit
415879,newcastlecitytriathlon.com.au,legit
1973946,mgkvp.ac.in,legit
1061008,jcfa9614f562665c1ecc9a0a7cfe909cb0.so,dga
206184,appen.com.au,legit
748774,refitrf.ru,legit
1604143,zbloleasuredehydratorysagp.com,dga
686509,callbox.com,legit
1573516,xfnqsemitismgavenuteq.com,dga
735554,tvoytest.ru,legit
194761,cinematext.ru,legit
1641361,ilnnytxihkibpnwuv.com,dga
541085,lich365.com,legit
811358,celebsgeek.com,legit
266603,nellyssecurity.com,legit
1556712,wcosbyplaywobb.com,dga
636003,ipartymobile.com,legit
1016721,khpbrqhiqtwr.ru,dga
346554,manymore.fr,legit
1501784,syrxllaabettingk.com,dga
570219,panzermodels.co.uk,legit
581340,anarchismus.at,legit
1717266,vocomoc.info,dga
228022,usuhs.edu,legit
1745630,lzqrmjjffqtluxm.com,dga
100205,osaka-info.jp,legit
420363,tenzo-tea.myshopify.com,legit
1659186,qjidspqjxrtmcwogh.com,dga
505980,tk-konstruktor.ru,legit
1454964,qclkrsensinaix.com,dga
1910243,bangkok.com,legit
1956790,buriedone.com,legit
1191587,aortalitydevonianizuwb.com,dga
703591,sjo.com,legit
1071863,1dtjzs8caakb1x4f4g4aj2z2v.org,dga
1219236,cehevinskycattederifg.com,dga
1998108,romprovider.com,legit
214738,tandem.co,legit
1314547,hvlaardenslavetusul.com,dga
1109473,fgqrterredkx.biz,dga
233485,ear.one,legit
1286435,gctyestnessbiophysicalohax.com,dga
160741,sendearnings.com,legit
1887400,nurxxx.net,legit
1245535,dttbancorml.com,dga
1491407,sgtdfordlinnetavox.com,dga
723831,najgorsza-praca.pl,legit
1219742,cesasatformalisticirekb.com,dga
1518611,txdqmen.com,dga
83490,wynagrodzenia.pl,legit
839877,upglobe.net,legit
236366,parsproje.com,legit
1379018,lriwmen.com,dga
165991,tejji.com,legit
910654,recreationconnection.com,legit
1987422,modhacker-downloads.ru,legit
1016725,oftyjxyjeyhu.com,dga
663286,cosmetologiadobem.com.br,legit
97478,mobiguru.ru,legit
563550,legacywaste.org,legit
91473,sportsbasement.com,legit
826729,12talerov.ru,legit
1701579,qgppmkkpjbftasgcn.me,dga
577239,tenderland.ru,legit
1045533,rcb70dbb83a95f3e96105d14fc6b4aafc0.so,dga
482443,gundogar.org,legit
230793,packhacker.com,legit
300819,cwc.ca,legit
395180,beritaanime.space,legit
516681,qbcqatar.com.qa,legit
1301493,hdkciologistbikerepil.com,dga
1747941,nnqfdhrukbeell.com,dga
1064525,qaumkertcvydd.co.uk,dga
663805,dgtemplates.blogspot.com.br,legit
867983,ds-navi.co.jp,legit
1230868,cyiyrsensinaix.com,dga
732484,discretize.eu,legit
746747,canalgif.net,legit
1053448,1nqheco100gpuh1d9mhnxwa7dm6.net,dga
1422584,oewmenhancedysb.com,dga
1501171,sydwinalcentricem.com,dga
784170,bradyates.com,legit
1370782,lfrhmachuslazaroqok.com,dga
1981126,postovabanka.sk,legit
819897,smotri-mania.net,legit
1227508,csjyamentalistfanchonut.com,dga
1458258,qihsorcajanunal.com,dga
1414571,ntriepictom.com,dga
915892,shannononeilphotography.com,legit
1579896,xnyipartbulkyf.com,dga
795161,moped-museum.de,legit
222269,acousterr.com,legit
1605134,zdehvinskycattederifg.com,dga
1511801,tnptamentalistfanchonut.com,dga
1004843,1jqche21uif7vqowvwhkhadppj.net,dga
1823758,inweuzczkgndeorjfsip.net,dga
624455,gesundheitsschau.de,legit
605724,allpdfmags.net,legit
785744,db-berater.de,legit
276178,physlets.org,legit
1095021,eqrhcr.com,dga
1204075,bjjaalitydevonianizuwb.com,dga
178053,payquicker.com,legit
18068,officex.org,legit
304308,fatimamartinez.es,legit
106500,takoyaki.asia,legit
1917391,autocosmos.com.mx,legit
257122,servatafareen.com,legit
1591111,yeeyererwyatanb.com,dga
1685614,icydwxooskjwae.su,dga
1892493,oyksoft.com,legit
1865072,wohildeting.com,dga
376620,dxnganodermakaffee.at,legit
715519,ascweb.org,legit
1159599,xwxporyfggcv.com,dga
785696,dasweblog.de,legit
1170523,1tvpbtsqizppq3w.net,dga
824939,alettaocean.com,legit
